S. No.,Power,Scanning speed ,Pulse width,Frequency,Color,R,G,B,L,a,b,Special,,,,,,,,,,,
57,18,867,5,300,Hurricane Brown,137,124,118,52.99,3.89,5.07,brown,,,,,,,,,,,
58,18,1011,5,300,Almond frost brown,147,129,119,55.31,5.15,7.93,brown,,,,,,,,,,,
59,18,1155,5,300,Almond frost brown,155,133,119,57.15,6.06,10.63,brown,,,,,,,,,,,
60,18,1300,5,300,Almond frost brown,156,137,120,58.33,4.36,11.74,brown,,,,,,,,,,,
61,21,200,5,300,Lynch Blue,105,123,133,50.53,-4.25,-7.65,blue,,,,,,,,,,,
62,21,344,5,300,Blue Bayoux,97,114,130,47.22,-2.44,-10.89,blue,,,,,,,,,,,
63,21,489,5,300,Blue Bayoux,93,110,126,45.61,-2.43,-10.95,blue,,,,,,,,,,,
64,21,633,5,300,Blue Bayoux,97,109,125,45.58,-0.74,-10.38,blue,,,,,,,,,,,
65,21,778,5,300,Raven Blue,108,111,118,46.8,0.356,-4.28,blue,,,,,,,,,,,
66,21,922,5,300,Empress Grey,120,114,116,48.62,2.7,-0.28,grey,,,,,,,,,,,
67,21,867,5,300,Hurricane Brown,134,119,114,51.24,4.89,4.85,brown,,,,,,,,,,,
68,21,1011,5,300,Hurricane Brown,142,124,112,53.31,4.87,9.08,brown,,,,,,,,,,,
69,21,1155,5,300,Almond frost brown,152,130,116,55.99,6.1,10.68,brown,,,,,,,,,,,
70,21,1300,5,300,Pale Oyster Brown,156,134,113,57.38,5,14.4,brown,,,,,,,,,,,
71,24,200,5,300,Blue Bayoux,106,120,123,49.41,-4.5,-3.41,blue,,,,,,,,,,,
72,24,344,5,300,Kashmir Blue,88,111,129,45.67,-3.86,-12.69,blue,,,,,,,,,,,
73,24,489,5,300,Blue Bayoux,90,107,123,44.4,-2.42,-11,blue,,,,,,,,,,,
74,24,633,5,300,Blue Bayoux,89,107,119,44.19,-3.78,-8.92,blue,,,,,,,,,,,
75,24,778,5,300,Pale Sky Blue,98,108,118,45.12,-1.5,-6.85,blue,,,,,,,,,,,
76,24,922,5,300,Scarpa Flow Grey,113,111,114,47.1,1.38,-1.4,grey,,,,,,,,,,,
77,24,867,5,300,Empress Grey,128,114,113,49.27,5.25,2.53,grey,,,,,,,,,,,
78,24,1011,5,300,Americano Brown,138,120,110,51.79,5.23,8.04,brown,,,,,,,,,,,
79,24,1155,5,300,Hemp Brown,148,126,113,54.46,6.3,10.2,brown,,,,,,,,,,,
80,24,1300,5,300,Hemp Brown,152,129,111,55.61,5.91,13.02,brown,,,,,,,,,,,
81,27,200,5,300,Rolling stone Green,104,118,118,48.52,-5.19,-1.77,green,,,,,,,,,,,
82,27,344,5,300,Bismark Blue,83,109,124,44.56,-5.6,-11.4,blue,,,,,,,,,,,
